colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel
BMH1_plate_20181119_H05	14.85251647	AX001	HSC	HSC	blood	63	1321	892	1321.182386	27	58.93738118	959.0972796985	47.4273957883319
B1_C10	13.35022735	AX001	B Naive	Naive B	blood	63	1903	998	1512.462033	28	64.39933835	1093.27467327382	51.9371813094668
B1_D8	11.22618231	AX001	B Naive	Naive B	blood	63	1903	838	1495.347796	29	72.22421968	993.696322094742	58.5924524202981
B1_G7	11.98498998	AX001	B Memory	Memory B	blood	63	1903	1970	2573.027187	57	97.71371279	2100.70403679062	84.4724074390659
B10_G7	9.804537928	AX001	B Memory	Memory B	blood	63	1903	1289	2059.060352	34	82.15553663	1504.85684155724	67.8892292651364
B11_A7	9.50725655	AX001	B Naive	Naive B	blood	63	1903	732	1527.577232	17	66.2256492	963.084482090255	51.8445411126478
B12_B4	7.442619134	AX001	B Naive	Naive B	blood	63	1903	446	1439.70882	5	62.0499736	816.606448562654	47.0729931255302
B12_D10	19.96369553	AX001	B Naive	Naive B	blood	63	1903	1055	1269.136262	42	60.75653132	1074.49684798259	52.9620419068679
B13_D9	17.4334922	AX001	B Naive	Naive B	blood	63	1903	1166	1473.859629	27	51.91753602	1202.35668180199	42.2149212457649
B13_H6	8.17912289	AX001	B Memory	Memory B	blood	63	1903	877	1795.619971	14	68.17830217	1190.19613736925	53.3706440995816
B14_A5	19.06098699	AX001	B Naive	Naive B	blood	63	1903	1035	1280.069838	32	52.87761573	1059.43781239437	44.3915065441134
B15_A1	20.62567566	AX001	B Naive	Naive B	blood	63	1903	1247	1440.049669	36	53.25291809	1263.46563937097	45.9711318906919
B15_B4	18.31107169	AX001	B Naive	Naive B	blood	63	1903	1188	1460.82193	52	74.70380708	1217.38681596653	65.6515531107139
B15_B8	12.13172988	AX001	B Naive	Naive B	blood	63	1903	932	1524.958559	29	69.23766757	1058.34830983073	56.0755924703046
B15_D9	9.363835225	AX001	B Naive	Naive B	blood	63	1903	719	1527.142831	17	66.74686534	957.806759500359	52.3127721175093
B15_G10	17.49720528	AX001	B Memory	Memory B	blood	63	1903	3315	3620.218283	125	149.7539715	3350.80259677275	140.098072715029
B15_G3	15.37379962	AX001	B Memory	Memory B	blood	63	1903	2213	2615.272788	66	96.45568238	2272.35967733812	85.295363413827
B17_C9	9.617808388	AX001	B Naive	Naive B	blood	63	1903	733	1519.00552	19	67.8260934	958.301348675111	53.4869015041726
B17_F2	12.20852786	AX001	B Memory	Memory B	blood	63	1903	1429	2016.74366	41	80.98972672	1553.12588717498	67.869576003973
B18_C3	18.10723501	AX001	B Naive	Naive B	blood	63	1903	1054	1334.706611	34	57.210522	1084.88417051184	48.0059440550841
B18_D1	18.23974327	AX001	B Naive	Naive B	blood	63	1903	1470	1745.564011	65	87.88061437	1499.90292431131	78.7749760494333
B18_D10	13.14461671	AX001	B Naive	Naive B	blood	63	1903	930	1457.090415	29	66.03290631	1029.93407497234	53.4476852944401
B20_A11	13.35387604	AX001	B Naive	Naive B	blood	63	1903	938	1452.240092	27	63.38814514	1033.19393052367	50.928189202739
B20_C1	18.33599398	AX001	B Naive	Naive B	blood	63	1903	1175	1446.868149	33	55.64216006	1204.20845158485	46.6085785744298
B20_F1	11.6542866	AX001	B Memory	Memory B	blood	63	1903	1488	2114.229689	47	88.79771005	1629.06907590803	75.3821772703699
B20_G6	20.043303	AX001	B Memory	Memory B	blood	63	1903	1787	1998.531132	92	110.5734258	1806.10777469493	102.840372234472
B3_B5	18.54783867	AX001	B Naive	Naive B	blood	63	1903	1162	1425.849524	36	58.12081695	1189.73236536691	49.2463703538782
B3_D12	14.35496891	AX001	B Naive	Naive B	blood	63	1903	1015	1471.115049	32	65.38313575	1090.38764510349	53.5481357473987
B3_D2	18.2463057	AX001	B Naive	Naive B	blood	63	1903	1095	1370.310949	38	60.86432348	1124.85508713703	51.7635934435487
B4_F5	9.321286285	AX001	B Memory	Memory B	blood	63	1903	1812	2623.903083	27	76.90211787	2053.14651334905	62.4526123689763
B5_C11	19.77228524	AX001	B Naive	Naive B	blood	63	1903	1128	1348.479832	47	66.19939021	1148.46164724328	58.2574533368746
B5_C8	12.84152001	AX001	B Naive	Naive B	blood	63	1903	951	1497.153212	34	71.97721396	1058.21177140637	59.2141186472056
B6_H2	11.70174216	AX001	B Memory	Memory B	blood	63	1903	1806	2428.856091	48	89.6412042	1945.53347101472	76.2502961595304
B7_B7	11.05986111	AX001	B Naive	Naive B	blood	63	1903	864	1533.776154	22	65.78559471	1025.77375861113	52.0727787390712
B7_E6	12.30818749	AX001	B Memory	Memory B	blood	63	1903	3950	4531.031805	119	158.6692058	4071.29907207169	145.60392155167
B8_C3	19.60384259	AX001	B Naive	Naive B	blood	63	1903	1190	1416.156555	41	60.59215338	1211.3460582011	52.5207964018863
B8_E11	14.5354783	AX001	B Memory	Memory B	blood	63	1903	1346	1792.199299	45	77.85501674	1418.27113574824	66.1368972988425
